,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO PULL,REFER TO HUNTR
100,CVE-2022-0763,1,0,0,0,0,1
101,CVE-2022-0762,1,0,0,0,0,1
102,CVE-2022-0753,1,0,0,0,0,1
103,CVE-2022-0752,1,0,0,0,0,1
104,CVE-2022-0746,1,0,0,0,0,1
105,CVE-2022-0743,1,0,0,0,0,1
106,CVE-2022-0695,1,0,0,0,0,1
107,CVE-2022-0736,1,0,0,0,0,1
108,CVE-2022-0869,1,0,0,0,0,1
109,CVE-2022-0731,1,0,0,0,0,1
110,CVE-2022-0729,1,0,0,0,0,1
111,CVE-2022-0727,1,0,0,0,0,1
112,CVE-2022-0726,1,0,0,0,0,1
113,CVE-2022-0724,1,0,0,0,0,1
114,CVE-2022-0723,1,0,0,0,0,1
115,CVE-2022-0721,1,0,0,0,0,1
116,CVE-2022-0719,1,0,0,0,0,1
117,CVE-2022-0717,1,0,0,0,0,1
118,CVE-2022-0714,1,0,0,0,0,1
119,CVE-2022-0713,1,0,0,0,0,1
120,CVE-2022-0712,1,0,0,0,0,1
121,CVE-2022-0705,1,0,0,0,0,1
122,CVE-2022-0704,1,0,0,0,0,1
123,CVE-2022-0697,1,0,0,0,0,1
124,CVE-2022-0824,1,0,0,0,0,1
125,CVE-2022-0696,1,0,0,0,0,1
126,CVE-2022-0476,1,0,0,0,0,1
127,CVE-2022-0692,1,0,0,0,0,1
128,CVE-2022-0691,1,0,0,0,0,1
129,CVE-2022-0829,1,0,0,0,0,1
130,CVE-2022-0690,1,0,0,0,0,1
131,CVE-2022-0689,1,0,0,0,0,1
132,CVE-2022-0688,1,0,0,0,0,1
133,CVE-2022-0686,1,0,0,0,0,1
134,CVE-2022-0685,1,0,0,0,0,1
135,CVE-2022-0754,1,0,0,0,0,1
136,CVE-2022-0755,1,0,0,0,0,1
137,CVE-2022-0756,1,0,0,0,0,1
138,CVE-2022-0678,1,0,0,0,0,1
139,CVE-2022-0676,1,0,0,0,0,1
