,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO HUNTR
0,CVE-2022-24782,1,0,0,1,0
1,CVE-2022-24764,1,0,0,1,0
2,CVE-2022-24752,1,0,1,1,0
3,CVE-2022-24749,0,0,1,1,0
4,CVE-2022-24743,0,0,1,1,0
5,CVE-2022-24724,0,0,0,0,0
6,CVE-2022-24722,1,0,1,1,0
7,CVE-2022-23636,1,0,0,1,0
8,CVE-2022-23610,0,0,0,0,0
9,CVE-2022-23599,0,0,0,0,0
10,CVE-2022-23598,0,0,0,0,0
11,CVE-2022-23590,1,0,0,1,0
12,CVE-2022-23569,0,0,0,1,0
13,CVE-2022-21718,0,0,0,1,0
14,CVE-2022-21687,0,0,0,0,0
15,CVE-2022-21671,1,0,0,1,0
16,CVE-2022-21668,1,0,1,1,0
17,CVE-2022-1191,1,0,0,0,1
18,CVE-2022-1181,1,0,0,0,1
19,CVE-2022-1180,1,0,0,0,1
20,CVE-2022-1179,1,0,0,0,1
21,CVE-2022-1178,1,0,0,0,1
22,CVE-2022-1177,1,0,0,0,1
23,CVE-2022-1176,1,0,0,0,1
24,CVE-2022-1172,1,0,0,0,1
25,CVE-2022-1163,1,0,0,0,1
26,CVE-2022-1160,1,0,0,0,1
27,CVE-2022-1155,0,0,0,0,1
28,CVE-2022-1154,1,0,0,0,1
29,CVE-2022-1106,1,0,0,0,1
30,CVE-2022-1071,1,0,0,0,1
31,CVE-2022-1064,1,0,0,0,1
32,CVE-2022-1061,1,0,0,0,1
33,CVE-2022-1058,0,0,0,0,1
34,CVE-2022-1052,1,0,0,0,1
35,CVE-2022-1036,1,0,0,0,1
36,CVE-2022-1035,1,0,0,0,1
37,CVE-2022-1034,1,0,0,0,1
38,CVE-2022-1033,0,0,0,0,1
39,CVE-2022-1032,0,0,0,0,1
40,CVE-2022-1031,1,0,0,0,1
41,CVE-2022-1000,1,0,0,0,1
42,CVE-2022-0991,1,0,0,0,1
43,CVE-2022-0986,1,0,0,0,1
44,CVE-2022-0970,1,0,0,0,1
45,CVE-2022-0968,1,0,0,0,1
46,CVE-2022-0967,1,0,0,0,1
47,CVE-2022-0966,1,0,0,0,1
48,CVE-2022-0965,1,0,0,0,1
49,CVE-2022-0964,1,0,0,0,1
50,CVE-2022-0963,1,0,0,0,1
51,CVE-2022-0962,1,0,0,0,1
52,CVE-2022-0961,1,0,0,0,1
53,CVE-2022-0960,1,0,0,0,1
54,CVE-2022-0957,1,0,0,0,1
55,CVE-2022-0956,1,0,0,0,1
56,CVE-2022-0955,0,0,0,0,1
57,CVE-2022-0954,1,0,0,0,1
58,CVE-2022-0951,1,0,0,0,1
59,CVE-2022-0950,1,0,0,0,1
60,CVE-2022-0946,1,0,0,0,1
61,CVE-2022-0945,1,0,0,0,1
62,CVE-2022-0944,1,0,0,0,1
63,CVE-2022-0943,1,0,0,0,1
64,CVE-2022-0942,1,0,0,0,1
65,CVE-2022-0941,1,0,0,0,1
66,CVE-2022-0940,1,0,0,0,1
67,CVE-2022-0938,1,0,0,0,1
68,CVE-2022-0937,1,0,0,0,1
69,CVE-2022-0932,1,0,0,0,1
70,CVE-2022-0930,1,0,0,0,1
71,CVE-2022-0929,1,0,0,0,1
72,CVE-2022-0928,1,0,0,0,1
73,CVE-2022-0926,1,0,0,0,1
74,CVE-2022-0921,1,0,0,0,1
75,CVE-2022-0913,1,0,0,0,1
76,CVE-2022-0912,1,0,0,0,1
77,CVE-2022-0911,1,0,0,0,1
78,CVE-2022-0906,1,0,0,0,1
79,CVE-2022-0905,0,0,0,0,1
80,CVE-2022-0896,1,0,0,0,1
81,CVE-2022-0895,1,0,0,0,1
82,CVE-2022-0894,1,0,0,0,1
83,CVE-2022-0893,1,0,0,0,1
84,CVE-2022-0890,1,0,0,0,1
85,CVE-2022-0881,1,0,0,0,1
86,CVE-2022-0880,1,0,0,0,1
87,CVE-2022-0877,1,0,0,0,1
88,CVE-2022-0871,1,0,0,0,1
89,CVE-2022-0870,1,0,0,0,1
90,CVE-2022-0869,1,0,0,0,1
